"Edad","Potencial Medio (0-100)","Valor de Mercado (€)","Salario (€)"
16,79.8,1562500,500
17,78.4,1218827,719
18,79,2212953,2756
19,78,2775772,4048
20,77.8,5158980,9375
21,78,6202523,9144
22,78.1,9062882,14624
23,77.5,9798776,16772
24,78.1,12250602,18656
25,77.1,11635000,22378
26,76.5,11881584,24684
27,74.2,9541304,22985
28,75.7,13093958,27548
29,75.7,13018056,28020
30,76,11698556,28690
31,74.2,8071310,26928
32,75,9209397,28926
33,74.8,6096040,27803
34,74.4,4570797,29782
35,74,2639938,16536
36,75.1,2053448,18224
37,74.6,3174167,23479
38,75.8,2440000,27942
